number,Unnamed: 0_x,imdbid,Title,Decade,Genre,Director,year,bechdel_rating,dubious,Unnamed: 0.1,Unnamed: 0_y,script_name,movie_name,male_percen,nonmale_percentage,dialogue_score,bechdel_score
58,58,103064,Terminator 2: Judgment Day,90s,Action,James Cameron,1991,3,1,57,57,terminator-2-judgement-day-1991.pdf,Terminator 2: Judgment Day,74.32,25.68,25,0
59,59,103776,Batman Returns,90s,Action,Tim Burton,1992,0,0,15,15,batman-returns.pdf,Batman Returns,61.76,38.24,14.7,40
60,60,112462,Batman Forever,90s,Action,Joel Schumacher,1995,1,0,17,17,batmanforever.php,Batman Forever,96.84,3.16,25,26.66
61,61,468569,The Dark Knight,2000s,Action,Christopher Nolan,2008,3,1,21,21,dark-knight.php,The Dark Knight,73.72,26.28,25,0
62,62,383574,Pirates of the Caribbean: Dead Mans Chest,2000s,Action,Gore Verbinski,2006,2,,39,39,pirates-of-the-caribbean-dead-mans-chest-2006.pdf,Pirates of the Caribbean: Dead Mans Chest,83.66,16.34,25,13.33
63,63,145487,Spiderman,2000s,Action,Sam Raimi,2002,1,0,48,48,spiderman.pdf,Spiderman,86.44,13.56,25,26.66
64,64,417741,Harry Potter and the Half Blood Prince ,2000s,Fantasy,David Yates,2009,3,,30,30,harry-potter-and-the-halfblood-prince.pdf,Harry Potter and the Half Blood Prince ,79.64,20.36,25,0
65,65,121766,Star Wars: Episode III - Revenge of the Sith,2000s,SCI-FI,George Lucas,2005,1,1,53,53,starwars_revenge-of-sith.php,Star Wars: Episode III - Revenge of the Sith,89.32,10.68,25,26.66
66,66,316654,Spider-Man 2,2000s,Action,Sam Raimi,2004,1,0,47,47,spider-man-2-2004.pdf,Spider-Man 2,84.22,15.78,25,26.66
67,67,418279,Transformers,2000s,Action,Michael Bay,2007,3,0,,,,,,,,0
68,68,325980,Pirates of the Caribbean: The Curse of the Black Pearl,2000s,Action,Gore Verbinski,2003,3,0,40,40,pirates-of-the-caribbean-the-curse-of-the-black-pearl-2003.pdf,Pirates of the Caribbean: The Curse of the Black Pearl,87.36,12.64,25,0
69,69,241527,Harry Potter and the Sorcerers Stone,2000s,Fantasy,Chris Columbus,2001,3,0,31,31,harry-potter-and-the-sorcerers-stone-2001.pdf,Harry Potter and the Sorcerers Stone,80.11,19.89,25,0
70,70,120755,Mission Impossible II,2000s,Action,John Woo,2000,0,0,38,38,mission-impossible2 (1).pdf,Mission Impossible II,97.43,2.57,25,40
